,artist,track,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms
0,Joeboy,Sip (Alcohol),0.812,0.616,10,-7.377,0,0.174,0.792,0.000464,0.0971,0.842,99.996,158400
1,Fireboy DML,Peru,0.951,0.415,7,-6.847,0,0.077,0.572,0.00403,0.0792,0.633,108.014,151641
2,CKay,love nwantiti (feat. Dj Yo! & AX'EL) - Remix,0.579,0.596,8,-4.823,1,0.0561,0.436,0.0938,0.0549,0.443,119.9,188369
3,Kizz Daniel,Lie,0.495,0.633,6,-6.675,1,0.294,0.511,0.00337,0.0927,0.738,201.726,156600
4,Diamond Platnumz,Naanzaje,0.823,0.732,10,-4.17,1,0.061,0.43,0,0.32,0.795,94.032,199309
5,Omah Lay,Understand,0.697,0.653,0,-7.284,1,0.102,0.166,0.231,0.0911,0.627,99.982,174545
6,Alikiba,Utu,0.469,0.672,6,-7.906,1,0.209,0.233,0.00451,0.0741,0.515,59.236,244909
7,Jaywillz,Medicine,0.606,0.795,6,-4.299,0,0.202,0.285,0.00351,0.0971,0.65,130.989,159679
8,Ayra Starr,Bloody Samaritan,0.796,0.719,8,-7.018,0,0.138,0.036,0,0.0718,0.242,105.027,187000
9,Diamond Platnumz,Gimmie (feat. Rema),0.773,0.714,7,-3.786,0,0.272,0.236,0,0.0492,0.912,107.946,162361
10,Lava Lava,Inatosha,0.782,0.707,10,-3.42,1,0.295,0.461,0,0.135,0.906,139.82,247857
11,Guchi,Benzema,0.738,0.802,0,-5.42,0,0.0474,0.385,8.36E-06,0.118,0.692,95.089,166737
12,Black Sherif,Second Sermon,0.585,0.681,1,-4.959,1,0.314,0.0801,0,0.0999,0.893,138.235,166147
13,KiDi,Touch It,0.893,0.757,10,-2.843,1,0.0738,0.112,0.0634,0.107,0.681,95.018,165000
14,Omah Lay,Godly,0.64,0.574,5,-8.951,0,0.091,0.138,0.00492,0.342,0.538,198.014,175215
15,Guchi,Jennifer,0.735,0.626,8,-5.061,1,0.296,0.6,0,0.0733,0.74,169.875,176857
16,Lody Music,Kubali,0.666,0.297,10,-7.097,1,0.0452,0.899,0,0.111,0.486,137.628,220016
17,Nandy,Nimekuzoea,0.857,0.629,1,-5.431,1,0.0549,0.0316,0.00081,0.0961,0.794,107.021,163714
18,Iyanii,Pombe,0.799,0.725,2,-6.198,1,0.104,0.0778,0,0.0583,0.95,100.052,156632
