,artist,track,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms
0,Bryan Adams,(Everything I Do) I Do It For You,0.526,0.365,1,-12.605,1,0.028,0.0775,1.35e-05,0.0618,0.253,131.253,394133
1,Otis Redding,(Sittin' On) the Dock of the Bay,0.769,0.367,2,-11.226,1,0.0312,0.684,1.62e-05,0.081,0.535,103.621,163756
2,Dan + Shay,"10,000 Hours (with Justin Bieber)",0.654,0.63,10,-4.644,1,0.0259,0.153,0.0,0.111,0.43,89.991,167693
3,Matt Redman,"10,000 Reasons (Bless The Lord) - Live",0.431,0.485,7,-8.085,1,0.0274,0.452,0.0,0.544,0.367,145.22,342493
4,Jason Isbell,24 Frames,0.568,0.527,4,-10.206,0,0.0249,0.156,0.0,0.136,0.761,104.93,193613
5,TOOL,7empest,0.323,0.804,7,-7.397,1,0.0369,7.35e-05,0.835,0.0957,0.384,144.756,943529
6,Dolly Parton,9 to 5,0.554,0.783,6,-5.852,1,0.0457,0.416,1.54e-06,0.631,0.813,105.39,162467
7,Rosanne Cash,A Feather's Not A Bird,0.711,0.583,0,-6.258,0,0.0267,0.598,0.000194,0.197,0.629,109.924,198200
8,The Beatles,A Hard Day's Night - Remastered 2009,0.59,0.805,0,-6.481,1,0.0371,0.137,0.0,0.0996,0.797,138.514,154200
9,21 Savage,a lot,0.837,0.636,1,-7.643,1,0.086,0.0395,0.00125,0.342,0.274,145.972,288624
10,Herb Alpert & The Tijuana Brass,A Taste Of Honey,0.552,0.423,5,-11.109,0,0.0365,0.771,0.881,0.111,0.495,80.871,163747
11,"Earth, Wind & Fire",After the Love Has Gone,0.424,0.443,6,-13.45,1,0.0382,0.532,0.000389,0.673,0.391,131.675,278040
12,Lenny Kravitz,Again,0.55,0.804,2,-5.218,1,0.0271,0.0148,4.33e-05,0.105,0.789,79.166,231667
13,Phil Collins,Against All Odds (Take a Look at Me Now) - 2016 Remaster,0.58,0.498,1,-6.901,1,0.0277,0.198,0.0,0.132,0.111,116.271,206360
14,Bob Seger,Against The Wind,0.674,0.771,7,-5.612,1,0.0246,0.28,0.0318,0.133,0.718,109.618,333720
15,Bill Withers,Ain’t No Sunshine - Lido Remix,0.594,0.789,9,-7.678,0,0.504,0.0742,0.00136,0.172,0.443,75.252,186629
16,Janet Jackson,All For You,0.753,0.934,2,-3.011,1,0.0736,0.0174,0.065,0.128,0.73,113.525,329933
17,Foo Fighters,All My Life,0.577,0.604,5,-5.703,1,0.0495,0.000218,0.000579,0.477,0.637,167.719,263440
18,Kanye West,All Of The Lights,0.531,0.803,1,-3.284,1,0.0717,0.0796,1.71e-05,0.176,0.221,142.113,299613
19,Various Artists,Alley Cat,0.837,0.26,0,-13.466,0,0.0402,0.84,0.663,0.0874,0.505,112.273,150213
