Title,Artist
Sip (Alcohol),Joeboy
Peru,Fireboy DML
love nwantiti (feat. Dj Yo! & AX'EL) (Remix),CKay
Lie,Kizz Daniel
Naanzaje,Diamond Platnumz
Understand,Omah Lay
Utu,Alikiba
Tamu ft. Rayvanny,Macvoice
Nenda,Macvoice
Medicine,Jaywillz
Abotr3 (Patience) ft. Black Sherif,Amerado
Abodie ft. Kuami Eugene,Captain Planet 4x4
Only One ft. Masauti,Mr. Seed
Bloody Samaritan,Ayra Starr
Gimmie (feat. Rema),Diamond Platnumz
Komando ft. Slapdee,Yo Maps
Happiness  ft Bobby East,Yo Maps
Bwana Mdogo ft. Patoranking,Alikiba
Running (To You) ft. Simi,Chike
Inatosha,Lava Lava
Ni Wewe ft. Harmonize,Killy (TZ)
Benzema,Guchi
Want It All ft. Polo G,Burna Boy
Such Kinda Love ft. Jovial,Otile Brown
Second Sermon,Black Sherif
Touch It,KiDi
Godly,Omah Lay
Jennifer,Guchi
Kubali,Lody Music 
Nimekuzoea,Nandy
Infinity ft. Omah Lay,Olamide
Pombe,Iyanii
Sometimes  ft JayRox,Yo Maps
Jeraha ft. Jovial,Otile Brown
"Beer Tamu ft. Tyler ICU, Abbah & Visca",Marioo (TZ)
Feeling ft. Buju,Ladipoe
Wakumbali ft Namadingo & Roberto,Yo Maps
Bunker,Kuami Eugene
Question ft. Don Jazzy,Burna Boy
Come,Rayvanny
Jonathan,Ak Songstress
Wanaweweseka,Rayvanny
Focus,Joeboy
Baila,Rayvanny
Sweet ft. GUCHI,Rayvanny
Show Me,Joeboy
Jennifer (Remix) ft. Rayvanny,Guchi
Sina Neno,Jux
Easy On Me,Adele
Boss  ft Chef 187,Yo Maps
Woman,Simi
Adhiambo,Bahati
Door ft. Kwesi Arthur,Joeboy
Love Nwantiti (Acoustic Version),CKay
Nikonde ft Temi,Yo Maps
Stay ft. Abby Chams,Rayvanny
Kilometre,Burna Boy
Somebody’s Son ft. Brandy,Tiwa Savage
Party,Rayvanny
Why,Yo Maps
First Sermon,Black Sherif
One Two,Rayvanny
Sukari,Zuchu
Nyumba Ndogo,Zuchu
Kiss ft. Rayvanny,Bahati
"IYO (feat. Focalistic, Mapara A Jazz, & Ntosh Gazi)",Diamond Platnumz
Teacher,Harmonize
Shuperu ft. KiDi ,Mr Drew
Ghost,Justin Bieber
Kalambe ft Mumba Yachi,Yo Maps
Shivers,Ed Sheeran
Oya Oya,Alikiba
Zai,Maua Sama
Number One ft. Zuchu,Rayvanny
Yalaaaa,Zuchu
Abule,Patoranking
"Congratulations ft, Buchi",Ada Ehi
Egedege ft. Theresa Onuorah x Flavour x Phyno,Larry Gaaga
Kamusango,Yo Maps
Rara,Rayvanny
Running ft. Fireboy DML,Ladipoe
Nshishibe ft Exile,Yo Maps
ANDERSON 1er - Retour à l’envoyeur,Anderson 1er
Overpass Graffiti,Ed Sheeran
Touche pas ft. Goulam,Rijade
Adom Grace,Diana Hamilton
Upendo ft. Zuchu,Spice Diana
Nampenda,Macvoice
Komando ft Slapdee,Yo Maps
Xool Ma Ci Bët (feat. Jeeba),Iss 814
Understand (Ameme Remix),Omah Lay
love nwantiti (ah ah ah) ft. Joeboy & Kuami Eugene,CKay
Washa ft. Nyashinski,Alikiba
Coming Home (feat. Tiwa Savage),MzVee
History ft. Fireboy DML,Cheque
Niteke ft. Blaq Diamond,Alikiba
Acapulco,Jason Derulo
Fake Ex,Yaw Tog
VIP ft. Zlatan & Rexxie,Sarkodie
Like I Do,Fireboy DML
