,artist,track,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms
0,Philly Bongoley Lutaaya,Alone,0.501,0.569,5,-8.438,1,0.0279,0.614,5.6e-06,0.152,0.403,144.064,400000
1,Franco,Mario (Non stop),0.597,0.674,10,-9.94,0,0.108,0.372,0.0,0.107,0.826,114.928,862040
2,Lucky Dube,Think About the Children,0.9,0.559,11,-6.54,1,0.0421,0.478,0.0,0.0637,0.873,137.082,263080
3,Miriam Makeba,Pata Pata - Stereo Version,0.823,0.8,8,-7.198,1,0.0419,0.614,0.0,0.0934,0.969,126.315,180174
4,PJ Powers,There Is an Answer,0.694,0.453,11,-10.717,1,0.0397,0.0132,0.0,0.0464,0.945,88.953,223453
5,Yvonne Chaka Chaka,From Me To You,0.569,0.506,2,-8.141,1,0.0334,0.767,0.0,0.152,0.426,74.141,306173
6,Various Artists,Too Late For Mama,0.557,0.776,3,-5.186,0,0.0344,0.371,5.47e-06,0.0915,0.596,105.075,237027
7,Tabu Ley Rochereau,Muzina,0.616,0.601,4,-12.837,1,0.0686,0.0722,0.000115,0.209,0.843,111.744,462349
8,Lucky Dube,Remember Me,0.73,0.703,10,-7.729,1,0.0649,0.138,6.39e-06,0.0726,0.716,84.069,263547
9,Khadja Nin,Mama,0.516,0.704,5,-8.53,1,0.0327,0.0374,0.115,0.273,0.636,79.007,288493
10,Various Artists,Mamou II,0.635,0.549,7,-12.054,0,0.206,0.652,0.0,0.0616,0.645,101.593,339400
11,Angelique Kidjo,Wombo Lombo,0.724,0.749,1,-8.0,1,0.0751,0.0727,0.254,0.0858,0.514,93.827,255333
12,Nameless,Sinzia,0.663,0.752,9,-7.48,0,0.0569,0.176,0.0,0.0861,0.88,113.159,268000
13,Cecile Kayirebwa,Tarihinda,0.694,0.459,4,-12.289,0,0.0426,0.182,0.0,0.0681,0.546,88.021,443133
14,Oliver Mtukudzi,Todii,0.534,0.501,7,-11.652,1,0.0732,0.906,0.000994,0.157,0.79,191.83,413040
15,M'Pongo Love,Ndaya,0.562,0.532,0,-6.746,1,0.0399,0.596,0.0171,0.114,0.561,164.239,542400
16,Tabu Ley Rochereau,Maze,0.61,0.543,9,-13.902,1,0.141,0.301,0.00117,0.139,0.866,118.293,636411
17,Miriam Makeba,Malaika,0.527,0.346,2,-15.77,1,0.0511,0.639,0.000568,0.706,0.571,148.157,313960
18,Aster Aweke,Nafkot,0.634,0.402,9,-9.415,0,0.0336,0.638,0.0026,0.12,0.456,150.108,385960
19,Madilu System,Nzele,0.739,0.565,9,-13.213,1,0.0333,0.522,0.000547,0.0704,0.839,140.004,421493
20,Tabu Ley Rochereau,Sacramento,0.683,0.903,1,-8.543,0,0.059,0.203,0.00192,0.0506,0.646,107.2,624307
21,Kanye West,I'll Fly Away,0.239,0.25,6,-11.414,1,0.0289,0.76,0.0,0.124,0.564,172.338,69707
22,Angelique Kidjo,Agolo,0.701,0.808,0,-8.205,1,0.0439,0.0367,0.139,0.377,0.835,93.951,289493
23,Mathey,Clepo,0.775,0.772,10,-6.81,0,0.0428,0.0825,0.15,0.05,0.962,105.998,342133
24,Mbilia Bel,Boya Ye,0.709,0.768,0,-8.352,1,0.0375,0.23,0.1,0.461,0.964,75.542,455143
25,Mathey,Ameyatchi,0.713,0.724,5,-7.315,1,0.0419,0.171,0.549,0.368,0.855,108.094,337040
26,Ringo Madlingozi,Sondela,0.733,0.558,9,-5.934,1,0.0292,0.0139,0.0,0.393,0.253,84.979,330606
27,Afrigo Band,NANTONGO,0.726,0.602,2,-9.214,1,0.0405,0.112,1.77e-05,0.0802,0.636,96.013,374518
28,Kanda Bongo Man,Muchana - Zouk Love,0.675,0.758,0,-10.726,1,0.0343,0.209,0.0176,0.547,0.869,100.013,302856
29,Madilu System,Ya Jean,0.687,0.622,0,-11.796,1,0.0333,0.453,0.00107,0.0401,0.858,100.974,421493
30,Lucky Dube,Victims,0.631,0.773,4,-5.48,1,0.0564,0.137,0.0,0.0398,0.525,155.747,248920
31,Les Wanyika,Sina Makosa,0.643,0.669,9,-9.209,1,0.121,0.28,8.39e-05,0.0282,0.711,108.36,497299
32,Ladysmith Black Mambazo,Homeless,0.433,0.408,8,-13.889,1,0.413,0.857,0.0,0.489,0.776,101.094,217400
33,Kanda Bongo Man,Tika Kolela,0.615,0.46,0,-15.133,1,0.0493,0.25,0.00745,0.321,0.943,92.42,219218
34,Koffi Olomide,Papa bonheur,0.566,0.701,0,-11.525,1,0.0599,0.156,0.000376,0.0322,0.952,123.073,430267
35,Salif Keita,Tekere,0.784,0.887,5,-8.855,1,0.0336,0.286,0.0438,0.495,0.949,112.977,393627
36,Manu Dibango,Soul Makossa,0.831,0.835,0,-3.768,1,0.142,0.128,0.00227,0.134,0.8,114.997,264307
37,Bavon Marie Marie,Maseke Ya Meme,0.515,0.474,7,-8.844,1,0.0395,0.206,0.000163,0.289,0.862,117.077,371373
38,Yvonne Chaka Chaka,Stimela,0.752,0.668,5,-9.714,1,0.0456,0.0482,0.0232,0.0552,0.897,113.015,253267
39,Kanda Bongo Man,Wahito,0.612,0.704,4,-10.032,1,0.0297,0.128,0.0171,0.0474,0.963,178.608,286928
40,Zaïko Langa Langa,Dede sur mesure,0.712,0.684,9,-11.656,1,0.0453,0.0866,0.000868,0.119,0.917,123.972,762893
41,Les Mangelepa,Nyako-Konya,0.539,0.628,0,-8.552,1,0.0715,0.209,0.0,0.614,0.668,88.741,539093
42,Pat Shange,Sweet Mama,0.842,0.613,0,-12.207,1,0.0384,0.57,0.177,0.223,0.964,108.86,377480
43,Magic System,Premier Gaou - Original Radio Edit,0.863,0.909,7,-5.985,0,0.0813,0.161,0.0,0.108,0.845,119.038,206320
44,Oliver N'Goma,Bane,0.76,0.692,10,-11.143,0,0.0587,0.15,0.436,0.0295,0.965,109.628,340867
45,Winston Mayanja,Tuleke Tweliire (Obulo Bwaffe),0.809,0.458,4,-14.212,1,0.0798,0.706,0.0,0.127,0.968,163.1,308053
46,Tabu Ley Rochereau,Mokolo Nakokufa,0.65,0.533,6,-8.653,0,0.065,0.751,1.93e-06,0.256,0.777,150.563,296453
47,Franco,Mario (Non stop),0.597,0.674,10,-9.94,0,0.108,0.372,0.0,0.107,0.826,114.928,862040
48,Baaba Maal,Taara,0.634,0.333,10,-9.564,0,0.0597,0.947,0.000989,0.213,0.225,121.107,323493
49,Various Artists,Sweet Mother,0.713,0.901,5,-6.805,1,0.0648,0.604,0.00409,0.26,0.894,125.65,594520
50,Mbilia Bel,Nakei Nairobi,0.551,0.715,7,-6.671,1,0.139,0.697,0.000291,0.101,0.896,110.84,501191
51,Oliver N'Goma,Lusa,0.647,0.632,5,-12.864,1,0.0358,0.187,0.559,0.0961,0.825,101.918,323467
52,Mbilia Bel,Nadina - Swahili,0.561,0.724,0,-7.222,1,0.0536,0.539,2.97e-06,0.309,0.851,110.497,572360
53,Cesária Evora,Petit pays,0.551,0.488,4,-11.583,0,0.0321,0.804,0.0,0.264,0.855,156.152,224507
54,Sam Fan Thomas,African Typic Collection,0.716,0.871,2,-8.416,1,0.0597,0.0568,0.0258,0.104,0.821,124.636,390767
55,Fela Kuti,Lady,0.74,0.871,10,-7.871,0,0.0507,0.207,0.000126,0.0917,0.541,106.698,828360
56,Khadja Nin,Sambolera Mayi Son,0.481,0.368,7,-12.328,0,0.0332,0.168,0.0532,0.0896,0.136,159.913,301640
57,Mbilia Bel,Mayaval,0.713,0.545,0,-13.383,1,0.0372,0.684,1.34e-05,0.0534,0.858,96.363,469333
58,Monique Seka,Chilen'koé,0.703,0.8,10,-6.602,1,0.033,0.223,0.00778,0.0755,0.935,102.079,311093
59,Mbilia Bel,Eswi yo wapi,0.473,0.796,4,-11.614,1,0.147,0.232,1.87e-05,0.1,0.857,107.619,545027
60,Lucky Dube,Kiss No Frog,0.509,0.711,9,-7.484,1,0.0525,0.0287,1.3e-05,0.0921,0.164,179.927,337767
61,Them Mushrooms,Jambo Bwana,0.749,0.68,10,-14.59,1,0.0529,0.851,0.0074,0.47,0.951,126.335,204625
62,Wenge Musica Maison Mère,Kalayi Boeing,0.798,0.787,11,-6.745,1,0.0843,0.0814,0.0,0.119,0.93,120.037,528267
63,Jose Chameleone,Basiima Ogenze,0.753,0.974,6,-0.737,1,0.0541,0.419,0.00191,0.0375,0.971,178.566,234762
64,Various Artists,Maria Salome,0.758,0.405,6,-12.128,1,0.1,0.515,0.0192,0.0796,0.868,96.944,397053
65,Miriam Makeba,Soweto Blues,0.555,0.501,10,-9.69,1,0.0679,0.174,0.0,0.091,0.936,179.718,256680
66,Platform One,Isencane,0.788,0.466,2,-17.013,1,0.0352,0.111,9.76e-05,0.289,0.964,111.542,416280
67,Verckys & L'Orchestre Vévé,Nakomitunaka,0.675,0.436,8,-12.061,1,0.058,0.788,0.000212,0.11,0.658,109.106,381040
