,Track,Artist
1, God Bless the Woman , Lucky Dube 
2, Alone , Philly Bongoley Lutaaya 
3, Mario , Franco 
4, Think About the Children , Lucky Dube 
5, Pata Pata , Miriam Makeba 
6, There is an Answer , PJ Powers 
7, 7 Seconds , Youssou N'Dour ft Neneh Cherry 
8, From Me To You , Yvonne Chaka Chaka 
9, Mama , Brenda Fassie 
10, Muzina , Tabu Ley 
11, Remember Me , Lucky Dube 
12, Mama , Khadja Nin 
13, Mamou , Franco & TPOK 
14, Wombo Lombo , Angelique Kidjo 
15, Sinzia , Nameless 
16, Zamina mina , Zangalewa 
17, Tarihinda , Cecile Kayirebwa 
18, Todii , Oliver Mtukudzi 
19, Luvi Wami , Platform One 
20, Ndaya , Mpongo Love 
21, Maze , Tabu Ley 
22, Malaika , Miriam Makeba 
23, Nafkot , Aster Aweke 
24, Nzele , Madilu 
25, Sacramento , Tabu Ley 
26, Awa Awa , Wes 
27, Agolo , Angelique Kidjo 
28, La Musique , Rrum Tah 
29, Shauri Yako , Nguashi N'Timbo 
30, Clepo , Mathey 
31, Boya ye , Mbilia Bel 
32, Ameyatchi , Mathey 
33, Sondela , Ringo Madlingozi 
34, Independence ChaCha , Grand Kalle 
35, How Do I Know (If She Loves Me) , Lucky Dube
36, Nantongo , Afrigo Band 
37, Muchana , Kanda Bongo Man 
38, Ya Jean , Madilu System 
39, Karibu Yangu , Tshala Muana 
40, Victims , Lucky Dube 
41, Sina Makosa , Les Wanyika 
42, Homeless , Lady Smith Mambazo 
43, Tika Kolela , Kanda Bongo Man 
44, Papa Bonheur , Koffi Olomide 
45, Tekere , Salif Keita 
46, Soul Makossa , Manu Dibango 
47, Maseke ya Meme , Bavon Marie Marie 
48, Stimela , Yvonne Chaka Chaka 
49, Wahito , Kanda Bongo Man 
50, Jabulani , PJ Powers 
51, Dede Sur Mesure , Zaiko Langa Langa 
52, Nyako Konya , Mangelepa 
53, Sweet Mama , Pat Shange 
54, Kabasele en Memoriam , Franco and Tabu Ley 
55, I Love You Daddy , Ricardo and Friends 
56, Vulindlela , Brenda Fassie 
57, Premier Gaou , Magic System 
58, Bane , Oliver N'Goma 
59, Tuleke Tweliire (Obulo Bwaffe) , Tshaka Mayanja 
60, Mokolo Nakokufa , Tabu Ley 
61, Mamaland , Yvonne Chaka Chaka 
62, Non , Franco 
63, Amour Chercher Amour , Antoine Manana 
64, Taara , Baaba Maal 
65, Sweet Mother , Prince Nico Mbarga 
66, Nakei Nairobi , Mbilia Bel 
67, Lusa , Oliver N'Goma 
68, Nadina , Mbilia Bel 
69, Wale Wetu , Khadja Nin 
70, Yellow Mealie , Lumumba ft Condry Ziqubu 
71, Petit Pays , Cesaria Evora 
72, Chandra , Josky & TPOK 
73, African Typic Collection , Sam Fan Thomas 
74, Lady , Fela Kuti 
75, Sadou , Franco ft TPOK 
76, Sambolera , Khadja Nin 
77, Mayaval , Mbilia Bel 
78, Kimpa Kisangameni , Franco ft TPOK 
79, Wedding Day , Brenda Fassie 
80, Chilen Koe , Monique Seka 
81, Ndona , Verckys and Veve 
82, Eswi yo Wapi , Mbilia Bel 
83, Kiss No Frog , Lucky Dube 
84, I'm in Love (With A DJ) , Yvonne Chaka Chaka 
85, Nina , Pepe Kalle ft Nyboma 
86, Jambo Bwana , Them Mushrooms 
87, Kalayi Boeing , Wenge Musica 
88, Basiima Ogenze , Jose Chameleone 
89, Maria Salome , Saida Karoli 
90, Soweto Blues , Miriam Makeba 
91, Isencane , Platform One 
92," Sina Mali, Sina Deni ", Khadja Nin 
93, Nakomitunaka , Verckys 
94, Ndakuvara , Oliver Mtukudzi 
95, Yeke Yeke , Mory Kante 
96, Kunjani , Ricardo and Friends 
97, Kazet , Mahlathini & Mahotella Queens 
98, Mamu Wenu , Tshala Muana 
99, Sodade , Cesaria Evora 
100, Show Me The Way , Papa Wemba 
